snapshot_id,year_month,sku_id,category,subcategory,brand,opening_stock,incoming_qty,sold_qty,closing_stock,sell_through_rate,days_of_inventory,lead_time_days,is_stockout
INV-2023-01-MCO-SH-001,2023-01,MCO-SH-001,Apparel,Shirts,MCC Standard,86,62,148,0,1.0,0,7,1
INV-2023-01-MCO-SH-002,2023-01,MCO-SH-002,Apparel,Shirts,MCC Standard,68,83,142,9,0.9404,2,17,0
INV-2023-01-MCO-SH-003,2023-01,MCO-SH-003,Apparel,Shirts,MCC Basic,78,51,113,16,0.876,4,21,0
INV-2023-01-MCO-SH-004,2023-01,MCO-SH-004,Apparel,Shirts,MCC Premium,85,83,96,72,0.5714,22,14,0
INV-2023-01-MCO-SH-005,2023-01,MCO-SH-005,Apparel,Shirts,MCC Standard,59,76,59,76,0.437,39,10,0
INV-2023-01-MCO-SH-006,2023-01,MCO-SH-006,Apparel,Shirts,MCC Basic,75,85,62,98,0.3875,47,10,0
INV-2023-01-MCO-SH-007,2023-01,MCO-SH-007,Apparel,Shirts,MCC Premium,86,0,47,39,0.5465,25,16,0
INV-2023-01-MCO-SH-008,2023-01,MCO-SH-008,Apparel,Shirts,MCC Basic,58,47,47,58,0.4476,37,7,0
INV-2023-01-MCO-SH-009,2023-01,MCO-SH-009,Apparel,Shirts,MCC Standard,61,0,38,23,0.623,18,8,0
INV-2023-01-MCO-SH-010,2023-01,MCO-SH-010,Apparel,Shirts,MCC Basic,82,0,46,36,0.561,23,19,0
INV-2023-01-MCO-SH-011,2023-01,MCO-SH-011,Apparel,Shirts,MCC Premium,49,13,44,18,0.7097,12,25,0
INV-2023-01-MCO-SH-012,2023-01,MCO-SH-012,Apparel,Shirts,MCC Premium,57,58,44,71,0.3826,48,24,0
INV-2023-01-MCO-SH-013,2023-01,MCO-SH-013,Apparel,Shirts,MCC Standard,46,21,47,20,0.7015,13,22,0
INV-2023-01-MCO-SH-014,2023-01,MCO-SH-014,Apparel,Shirts,MCC Standard,46,87,42,91,0.3158,65,15,0
