session_date,channel,sessions,orders,conversion_rate,revenue_idr,avg_order_value,is_promo_period
2023-01-01,Shopee,1281,148,0.1159,28425327,192063,0
2023-01-01,Tokopedia,809,98,0.1223,18336875,187111,0
2023-01-01,Website,271,26,0.0974,7376218,283701,0
2023-01-02,Shopee,1424,176,0.1239,41095195,233495,0
2023-01-02,Tokopedia,953,92,0.0974,20277278,220405,0
2023-01-02,Website,403,36,0.0905,8691212,241423,0
2023-01-03,Shopee,1468,182,0.1241,33040433,181541,0
2023-01-03,Tokopedia,776,86,0.1111,14864717,172846,0
2023-01-03,Website,453,51,0.1129,14381891,281998,0
2023-01-04,Shopee,1270,128,0.1008,27778648,217021,0
2023-01-04,Tokopedia,1027,121,0.1179,24086812,199065,0
2023-01-04,Website,416,32,0.0787,7288952,227780,0
2023-01-05,Shopee,1499,206,0.1376,31411006,152481,0
2023-01-05,Tokopedia,867,84,0.0969,17124163,203859,0
2023-01-05,Website,317,32,0.1012,8300577,259393,0
2023-01-06,Shopee,1173,132,0.1134,26369374,199768,0
2023-01-06,Tokopedia,850,93,0.1099,13861497,149048,0
2023-01-06,Website,493,36,0.0748,8035209,223200,0
2023-01-07,Shopee,1513,198,0.1314,38534287,194618,0
2023-01-07,Tokopedia,1008,112,0.1118,20133143,179760,0
2023-01-07,Website,392,36,0.092,6940346,192787,0
2023-01-08,Shopee,977,102,0.105,17771033,174226,0
2023-01-08,Tokopedia,941,124,0.132,32655013,263347,0
2023-01-08,Website,484,48,0.1001,8893033,185272,0
2023-01-09,Shopee,1090,141,0.1302,24349662,172693,0
2023-01-09,Tokopedia,757,98,0.13,18944945,193316,0
2023-01-09,Website,523,39,0.0765,8197686,210197,0
2023-01-10,Shopee,1281,173,0.1354,26791003,154861,0
2023-01-10,Tokopedia,717,80,0.1117,14991742,187397,0
2023-01-10,Website,402,43,0.1078,10592479,246337,0
2023-01-11,Shopee,1385,90,0.0656,15558679,172874,0
2023-01-11,Tokopedia,804,70,0.0878,13836852,197669,0
2023-01-11,Website,490,44,0.0902,11003612,250082,0
2023-01-12,Shopee,1554,182,0.1172,29775792,163603,0
2023-01-12,Tokopedia,884,111,0.1261,25722093,231731,0
2023-01-12,Website,514,48,0.0941,8803105,183398,0
2023-01-13,Shopee,1365,115,0.0844,16979817,147651,0
2023-01-13,Tokopedia,733,66,0.0903,14509282,219838,0
2023-01-13,Website,440,45,0.1033,11669423,259321,0
2023-01-14,Shopee,1020,129,0.1273,22299472,172864,0
2023-01-14,Tokopedia,943,132,0.1408,24697790,187104,0
2023-01-14,Website,450,33,0.0735,7852145,237944,0
2023-01-15,Shopee,1412,211,0.1495,34512357,163566,0
2023-01-15,Tokopedia,922,99,0.1078,16784085,169536,0
2023-01-15,Website,339,34,0.1023,5504775,161905,0
2023-01-16,Shopee,1384,167,0.1208,28180869,168748,0
2023-01-16,Tokopedia,1214,113,0.0933,25539361,226012,0
2023-01-16,Website,442,35,0.0808,6961938,198913,0
2023-01-17,Shopee,1631,263,0.1615,45921919,174608,0
2023-01-17,Tokopedia,965,90,0.0943,19168991,212989,0
2023-01-17,Website,486,32,0.0673,5919362,184980,0
2023-01-18,Shopee,1340,147,0.1101,26144825,177856,0
2023-01-18,Tokopedia,694,59,0.0864,12563501,212941,0
2023-01-18,Website,356,22,0.0636,4881201,221873,0
2023-01-19,Shopee,1269,170,0.1347,34377943,202223,0
2023-01-19,Tokopedia,796,83,0.1049,16916516,203813,0
2023-01-19,Website,345,30,0.088,6303157,210105,0
2023-01-20,Shopee,1312,153,0.1174,27665565,180821,0
2023-01-20,Tokopedia,1006,118,0.118,28281402,239673,0
2023-01-20,Website,303,19,0.0628,4658813,245201,0
2023-01-21,Shopee,1080,123,0.1141,24583262,199864,0
2023-01-21,Tokopedia,1003,95,0.0951,19513193,205402,0
2023-01-21,Website,405,28,0.07,6949315,248190,0
2023-01-22,Shopee,1671,215,0.1291,38497807,179060,0
2023-01-22,Tokopedia,816,70,0.087,8822104,126030,0
2023-01-22,Website,470,45,0.0969,10822625,240503,0
2023-01-23,Shopee,1477,217,0.1471,42048303,193771,0
2023-01-23,Tokopedia,834,93,0.1124,18085795,194471,0
2023-01-23,Website,451,48,0.1075,9162304,190881,0
2023-01-24,Shopee,1226,150,0.1226,23063877,153759,0
2023-01-24,Tokopedia,821,103,0.1259,22884538,222180,0
2023-01-24,Website,393,30,0.0764,6197725,206591,0
2023-01-25,Shopee,1092,110,0.1014,21200681,192733,0
2023-01-25,Tokopedia,739,63,0.0861,15870851,251918,0
